dealname,lead_owner,support_owner,broad_category_updated,subcategory,fund,createdate,recommendation
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.565Z,"['Advanced Computing Hardware', 'Critical Infrastructure Protection', 'Industrial Automation & Analytics']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.565Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.596Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Emerging Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.604Z,"['Critical Technology', 'Equity Investment', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.605Z,"['Quantum Computing', 'Cybersecurity', 'AI & Machine Learning']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.610Z,"['Critical Technologies', 'Equity Investments', 'Tech Partnerships']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.689Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.690Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.696Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.705Z,"['Industrial Automation', 'Critical Infrastructure', 'Advanced Manufacturing Tools']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.705Z,"['Critical Technologies Investment', 'Equity Funding', 'Tech Equity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.726Z,"['Critical Technologies', 'Equity Investment', 'Technology Solutions']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.726Z,"['Industrial Technologies', 'Critical Infrastructure', 'Advanced Manufacturing']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.727Z,"['Critical Technologies', 'Equity Investments', 'Principal Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.745Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Emerging Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.747Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.759Z,"['Advanced Manufacturing', 'Critical Technologies', 'Equity Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.761Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.775Z,"['Advanced Manufacturing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.891Z,"['Critical Technologies', 'Equity Investment', 'Principal Investment']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.898Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Industrial Automation']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.917Z,"['Critical Technologies', 'Equity Investments', 'Technology Partnerships']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.957Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.958Z,"['Critical Technologies', 'Equity Investments', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.990Z,"['Critical Technologies', 'Advanced Computing', 'Industrial Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.991Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:07.005Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:07.011Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Industrial Automation']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:07.014Z,"['Critical Technologies', 'Equity Investment', 'Technology Solutions']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:07.025Z,"['Advanced Manufacturing', 'Critical Infrastructure Protection', 'Emerging Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:07.029Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:07.036Z,"['Critical Technologies', 'Equity Investments', 'Principal Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:07.067Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:07.071Z,"['Critical Technologies', 'Equity Investments', 'Principal Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:07.075Z,"['Critical Infrastructure', 'Advanced Manufacturing', 'Cybersecurity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:07.093Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Industrial Technology']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:07.281Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:07.282Z,"['Advanced Manufacturing Technologies', 'Critical Infrastructure Protection', 'High-Performance Computing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:07.303Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:07.307Z,"['Advanced Computing', 'Cybersecurity', 'Critical Infrastructure']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.024Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.025Z,"['Critical Technologies', 'Industrial Technologies', 'Advanced Computing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.038Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.098Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.109Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.110Z,"['Advanced Materials', 'Critical Infrastructure', 'Emerging Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.117Z,"['Critical Technologies', 'Advanced Computing', 'Equity Investment']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.133Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.156Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.158Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.182Z,"['Critical Technologies', 'Equity Investment', 'Advanced Computing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.183Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investment']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.184Z,"['Critical Technologies', 'Equity Investments', 'Industrial Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.197Z,"['Critical Technologies', 'Equity Investment', 'Advanced Computing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.197Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.210Z,"['Critical Technology Investment', 'Equity Funding', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.210Z,"['Industrial Automation', 'Advanced Manufacturing', 'Critical Infrastructure']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.211Z,"['Cybersecurity', 'Enterprise Analytics Software', 'Industrial Automation & Analytics']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.216Z,"['Industrial Automation', 'Critical Infrastructure', 'Advanced Manufacturing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.220Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.220Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
Critical Tech Equity,Nick Fisher,,Other,,,2024-07-25T19:44:28.226Z,"['Critical Technologies', 'Equity Investments', 'Advanced Industrial Solutions']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.235Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.235Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.239Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.240Z,"['Advanced Manufacturing', 'Critical Infrastructure Technology', 'Industrial Automation']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.240Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.240Z,"['Industrial Automation', 'Critical Infrastructure', 'Advanced Manufacturing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.241Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Tech Equity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.242Z,"['Critical Technologies', 'Equity Investments', 'Technology Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.245Z,"['Critical Technologies Investment', 'Equity Financing', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.246Z,"['Critical Technologies', 'Equity Investment', 'Technology']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.247Z,"['Critical Technologies', 'Equity Investment', 'Principal']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.248Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Industrial Automation']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.249Z,"['Critical Technologies', 'Equity Investment', 'Principal Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.250Z,"['Critical Technologies', 'Equity Investments', 'Industrial Technology']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.255Z,"['Critical Technologies', 'Equity Investment', 'Principal Technology']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.256Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.256Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.262Z,"['Critical Technologies', 'Emerging Technologies', 'Equity Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.267Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.271Z,"['Critical Technologies', 'Equity Investment', 'Industrial Innovations']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.299Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Emerging Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.300Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.300Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.301Z,"['Critical Technologies', 'Equity Investment', 'Industrial Tech']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.301Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.301Z,"['Critical Technologies', 'Equity Investments', 'Technology Funding']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.301Z,"['Critical Technologies', 'Equity Investments', 'Tech Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.301Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.301Z,"['Advanced Computing', 'Cybersecurity', 'Quantum Computing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.302Z,"['Industrial Automation', 'Critical Technologies', 'Equity Investment']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.304Z,"['Advanced Materials', 'Critical Infrastructure', 'Industrial Technology']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.304Z,"['Critical Technologies', 'Equity Investment', 'Principal']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.305Z,"['Critical Infrastructure', 'Equity Investment', 'Technology Solutions']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.308Z,"['Critical Technologies', 'Equity Investments', 'Tech Partnerships']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.323Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.331Z,"['Cybersecurity', 'Industrial Automation & Analytics', 'Advanced Manufacturing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.331Z,"['Industrial Automation & Analytics', 'Cybersecurity', 'Enterprise Analytics Software']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.347Z,"['Critical Technologies', 'Equity Investments', 'Principal Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.348Z,"['Cybersecurity', 'Quantum Computing', 'Industrial Automation & Analytics']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.355Z,"['Critical Technologies', 'Equity Investment', 'Tech Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.356Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.357Z,"['Critical Technologies', 'Equity Investments', 'Advanced Computing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.358Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.358Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.359Z,"['Advanced Computing', 'Cybersecurity', 'Industrial Automation & Analytics']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.375Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Emerging Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.381Z,"['Quantum Computing', 'Cybersecurity', 'Industrial Automation & Analytics']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.385Z,"['Advanced Materials', 'Critical Infrastructure', 'Emerging Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.389Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.403Z,"['Critical Technologies', 'Equity Investments', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.403Z,"['Advanced Computing Platforms', 'Next-Gen Computing', 'Critical Tech Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.403Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.403Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.404Z,"['Advanced Manufacturing', 'Critical Infrastructure Technologies', 'Industrial Automation']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.407Z,"['Advanced Computing', 'Cybersecurity', 'Critical Infrastructure']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.418Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.418Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.420Z,"['Advanced Manufacturing', 'Critical Technologies', 'Equity Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.423Z,"['Critical Technologies', 'Advanced Computing', 'Industrial Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.424Z,"['Critical Infrastructure', 'Advanced Materials', 'High-Performance Computing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.426Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Industrial Automation']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.429Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.431Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.433Z,"['Critical Technologies', 'Equity Investments', 'Advanced Technology']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.433Z,"['Critical Technologies', 'Equity Investment', 'Technology Partnerships']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.440Z,"['Critical Technology', 'Equity Investment', 'Industrial Technology']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.447Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.449Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investment']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.450Z,"['Critical Technologies', 'Advanced Computing', 'Industrial Automation']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.456Z,"['Industrial Automation & Analytics', 'Quantum Computing', 'Cybersecurity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.459Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.464Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.477Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.477Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.479Z,"['Critical Technologies', 'Equity Investments', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.775Z,"['Critical Technologies', 'Equity Investments', 'Industrial Technology']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.808Z,"['Critical Technologies', 'Equity Investments', 'Advanced Computing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:28.810Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:57.929Z,"['Critical Infrastructure', 'Emerging Technologies', 'Equity Investment']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:57.937Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:57.947Z,"['Industrial Automation', 'Critical Infrastructure Technologies', 'Advanced Manufacturing']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:57.971Z,"['Critical Technologies', 'Equity Investments', 'Tech Innovations']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:57.971Z,"['Industrial Automation', 'Advanced Manufacturing', 'Critical Infrastructure']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:57.974Z,"['Critical Technologies', 'Equity Investment', 'Technology Partnerships']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58Z,"['Critical Technologies', 'Equity Investment', 'Technology Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.003Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.005Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Emerging Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.024Z,"['Advanced Computing', 'Critical Technology', 'Equity Investment']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.033Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Industrial Automation']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.033Z,"['Critical Technologies', 'Equity Investment', 'Advanced Tech']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.034Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.035Z,"['Critical Technologies', 'Equity Investment', 'Principal Tech']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.035Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.037Z,"['Critical Technologies', 'Advanced Computing', 'Industrial Automation']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.038Z,"['Critical Technologies', 'Equity Investments', 'Principal Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.078Z,"['Critical Technologies', 'Equity Investments', 'Technology Integration']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.080Z,"['Critical Technologies', 'Advanced Computing', 'Equity Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.080Z,"['Critical Technologies', 'Equity Investment', 'Advanced Computing']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.082Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.083Z,"['Critical Technology', 'Equity Investment', 'Principal Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.085Z,"['Critical Technologies', 'Equity Investment', 'Principal Investment']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.085Z,"['Critical Technologies', 'Technology Investment', 'Equity Funding']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.088Z,"['Advanced Computing', 'Critical Technologies', 'Equity Technology']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.092Z,"['Critical Technologies', 'Advanced Computing', 'Industrial Automation']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.098Z,"['Quantum Computing', 'Cybersecurity', 'Enterprise Analytics Software']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.103Z,"['Critical Technologies', 'Equity Investments', 'Advanced Tech Solutions']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.110Z,"['Industrial Automation', 'Critical Technologies', 'Equity Investment']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.111Z,"['Advanced Computing', 'Industrial Automation', 'Critical Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.116Z,"['Critical Technologies', 'Equity Investment', 'Advanced Computing']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.117Z,"['Industrial Automation', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.118Z,"['Critical Technologies', 'Equity Investment', 'Technology Partnerships']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.119Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.127Z,"['Industrial Automation & Analytics', 'General Software & Analytics', 'Enterprise Analytics Software']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.133Z,"['Advanced Robotics', 'Critical Infrastructure Protection', 'Emerging Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.140Z,"['Critical Technologies', 'Equity Investments', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.145Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.147Z,"['Artificial Intelligence & Machine Learning', 'Quantum Computing', 'Cybersecurity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.151Z,"['Advanced Manufacturing', 'Critical Technologies', 'Equity Investment']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.155Z,"['Critical Technologies', 'Equity Investment', 'Principal Tech']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.160Z,"['Critical Technologies', 'Equity Investments', 'Technology Sector']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.160Z,"['Cybersecurity', 'Quantum Computing', 'Industrial Automation & Analytics']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.161Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.162Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.166Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.166Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.166Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.166Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.168Z,"['Advanced Computing', 'Cybersecurity', 'Quantum Computing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.168Z,"['Critical Technologies', 'Equity Investment', 'Industrial Technologies']"
